N,sumNeighbors,tNeighbors,sumStride,tStride,sumScan,tScan
501,520574227057.000000,0.000063,520574227057.000000,0.000059,520574227057.000000,0.000140
10000,10858488240631.250000,0.000097,10858488240631.250000,0.000087,10858488240631.250000,0.000205
50000,53599660724151.000000,0.000101,53599660724151.000000,0.000097,53599660724151.000000,0.000267
100000,107308907605890.500000,0.000106,107308907605890.500000,0.000105,107308907605890.500000,0.000341
1000000,1074382028451796.000000,0.000348,1074382028451796.000000,0.000231,1074382028451796.000000,0.001971
10000000,10736480895342212.000000,0.002540,10736480895342212.000000,0.001399,10736480895342212.000000,0.029690
100000000,107384898775594288.000000,0.024274,107384898775594304.000000,0.012884,107384898775594288.000000,0.247030
250000000,268424695951064768.000000,0.059792,268424695951064768.000000,0.030650,268424695951064768.000000,0.484896
