N,sumNeighbors,tNeighbors,sumStride,tStride,sumScan,tScan
501,545314730987.000000,0.000001,545314730987.000000,0.000184,545314730987.000000,0.000030
10000,10675833115211.000000,0.000006,10675833115211.000000,0.000121,10675833115211.000000,0.000046
50000,53515543507997.000000,0.000030,53515543507997.000000,0.000128,53515543507997.000000,0.000077
100000,107345864261546.000000,0.000066,107345864261546.000000,0.004000,107345864261546.000000,0.000125
1000000,1073756018481283.000000,0.000616,1073756018481283.000000,0.001030,1073756018481283.000000,0.003037
10000000,10738138201479756.000000,0.017142,10738138201479754.000000,0.016673,10738138201479756.000000,0.172769
100000000,107376510835882960.000000,0.189744,107376510835882976.000000,0.153143,107376510835882960.000000,1.380969
250000000,268431281737299648.000000,1.968550,268431281737299648.000000,0.382940,268431281737299648.000000,2.857078
